1301|Mercer Island Townhomes|Conner Homes|C:\2222|Rick|Alias|
1251|Trinity multi‐family|Investco|C:\1111|||E34
1250|Silver Lake Multifamily|Taylor Development|D:\2222|Denise, Carson||
1249|Cedar Falls Plan 4035|Polygon Northwest Company|D:\2222|Rick, Janna||W21
1248|Glacier Run Apartments (aka Sunrise Apts 07‐21)|Investco Property Development|H:\1248|Rick, Janna||
1247|Test|Rudeen|H:\1247|||
1246|Villebois II Townhomes 4‐plex|Polygon Northwest Company|H:\1246|||
1245|Villebois II Duplexes E5E5|Polygon Northwest Company|H:\1245|||
1244|Villebois II Cottages 2040 & 2050|Polygon Northwest Company|H:\1244|||
1243|Cornelius_Baseline Apartments Clubhouse|Polygon Vancouver|H:\1243|||
1242|Cornelius_Baseline Apartments|Polygon Vancouver|H:\1242|||
1241|Ribera|Lozier|H:\1241|||
1240|Cascara Townhomes|Polygon Northwest Company|H:\1240|||
1239|Beaver Creek Apartments|Evergreen Housing|H:\1239|||
1238|Brownstone at Issaquah Highlands|Polygon Northwest Company|H:\1238|||
1237|Silver Lake Apartments|Investco|H:\1237|||
1236|Old Town Townhomes|Lozier Homes|H:\1236|||
1235|Kirkland Waterfront Condominiums|Conner Homes|H:\1235|||
1234|Belmont Single Family (Bellevue)|Conner Homes|H:\1234|||
1233|Bothell Townhomes|Polygon Northwest Company|H:\1233|||
1232|Twin Creek Single Family|Polygon Vancouver|H:\1232|||
1231|Bremerton Nursing Facility Conversion|JWJ Group, Inc.|H:\1231|||
1230|River Road Apartments|Evergreen Housing|H:\1230|||
1230P|River Road Apartments - Prelim|Evergreen Housing|H:\1230P|||
1229|Division 95 Issaquah Highland Townhomes|Polygon Northwest Company|H:\1229|||
1228|Broadway Park Apartments aka Mirabolante|Rudeen|H:\1228|||
1228A|Broadway Park Apartments aka Mirabolante Extra Services Clubhouse|Rudeen|H:\1228|||
1227|Johnson House Review|George L. Johnson|H:\1227|||
1226|High Point Block 9|Polygon Northwest Company|H:\1226|||
1225|Snoqualmie Ridge Townhomes|Verity Housing Advisors, LLC|H:\1225|||
1224|Kirkland Property|Milestone Properties|H:\1224|||
1223|Jewell Single Family|Polygon Northwest Company|H:\1223|||
1223A|Jewell Single Family Extra Services Owner Changes|Polygon Northwest Company|H:\1223|||
1222|Jewell Site Plan|Polygon Northwest Company|H:\1222|||
1221|Washington Market|Investco|H:\1221|||
1220|Lake Forrest Property|Intracorp|H:\1220|||
1219|Forest Glen Single Family (Beaverton)|Polygon Vancouver|H:\1219|||
1218|Snohomish Station Phase II|Rudeen|H:\1218|||
1217|Aegis of Redmond - Memory Care Enhancements|Aegis Living|H:\1217|||
1216|Aegis of Redmond - HVAC Improvements|Aegis Living|H:\1216|||
1215|Barbee Mill 6414M.2/.3 Lots 23‐24|Conner Homes|H:\1215|||
1215A|Barbee Mill 6414M.2/.3 Lots 23‐24 Extra Services|Conner Homes|H:\1215|||
1214|Lakeside Apartments|Polygon Northwest Company|H:\1214|||
1213|Silver Creek Crossing|Pacific Ridge Homes|H:\1213|||
1212|High Point Phase 3 Plot Plans|Polygon Northwest Company|H:\1212|||
1211|Baseline Woods Single Family|Polygon Vancouver|H:\1211|||
1210|Scoccolo Pod B Apartments|Polygon Northwest Company|H:\1210|||
1209|Mill Creek Apartments|Polygon Northwest Company|H:\1209|||
1208|Cedar Falls Picnic Shelter|Polygon Northwest Company|H:\1208|||
1207|Baseline Woods Apartments|Polygon Vancouver|H:\1207|||
1207A|Baseline Woods Apts Extra Services Fire Separation Study|Polygon Vancouver|H:\1207|||
1207B|Baseline Woods Apts Extra Services|Polygon Vancouver|H:\1207|||
1207C|Baseline Woods Apts Extra Services Leasing Office|Polygon Vancouver|H:\1207|||
1207D|Baseline Woods Apts Extra Services Separate Cover|Polygon Vancouver|H:\1207|||
1206|Benridge Northwest|Investment Group|H:\1206|||
1205|Vashon Developmentally Disabled Homes|RO Enterprises, Inc.|H:\1205|||
