1405|High Point Block 34|Polygon Northwest Company|H:\1405|BW||
1404|Zion|Polygon Vancouver|H:\1404|RT, DB|Zion at Villebois|
1403|North Plains Single Family|Polygon Vancouver|H:\1403|RT, DB||
1402|Lohnes Plat|Conner Homes|H:\1402|RT, DB||
1401|Villebois "The Lund Bishoff" Single Family|Polygon Vancouver|H:\1401|RT, DB||
1349|Kampp Property|Polygon Northwest Company|H:\1349|||
1348|Villebois Wide Front Load Houses|Polygon Vancouver|H:\1348|RT, DB|Living Enrichment Center|
1347|Everett Townhomes|Polygon Northwest Company|H:\1347|||
1346|Lynnwood Apartments|Deal Properties|H:\1346|||
1345|River View III|Rudeen Development|H:\1345|||
1344|Duvall Village Townhomes|Westcott Homes|H:\1344|BW||7
1343|Edgewood Single Family|Conner Homes|H:\1343|RT||
1342|Lakeside Townhomes|Polygon Northwest Company|H:\1342|BW, GG||
1342A|Lakeside Townhomes Extra Services Owner Chages|Polygon Northwest Company|H:\1342|GG||
1341|Sammamish Towncenter|Evergreen Housing|H:\1341|BW, AT||
1340|Lake Washington Blvd Townhomes|Conner Homes|K:\1340|RT||
1339|Sierra Townhomes|Westcott Homes|H:\1339|BW||
1338|Indigo Springs|Kennedy Wilson|H:\1338|BW||
1337|High Point Plot Plans|Polygon Northwest Company|H:\1337|GG||
1336|Vestibule for Polygon Bellevue Office|Polygon Northwest Company|K:\1336|RT||
1335|Sumner 410|Tarragon, Inc.|H:\1335|BW||
1334|Karrer Apartments|Rudeen Development|H:\1334|BW||
1333|Issaquah Church Site|Westcott Homes|H:\1333|BW||
1332|Issaquah Townhomes on 4th Ave|Westcott Homes|H:\1332|BW||
1331|Woodlands Townhomes|Evergreen Housing|H:\1331|BW||
1330|Ashbury|Lennar Northwest|H:\1330|BW||
1329|Filbert |Lennar Northwest|H:\1329|BW||
1328|Lacey Apartments|Tarragon, Inc.|H:\1328|BW||
1327|Ash Way Property|Lennar Northwest|K:\1327|BW||
1326|Mutual Materials Site Townhomes|Conner Homes|H:\1326|RT||
1325|Mountlake Terrace Townhomes|Polygon Northwest Company|H:\1325|BW||
1324|Lake Boren 2 (Lot 2) Single Family House|Conner Homes|H:\1324|RT, AF, DB||
1324B|Lake Boren 2 (Lot 2) SF House Extra Services Owner Changes|Conner Homes|H:\1324|RT, AF, DB||
1324A|Lake Boren 2 (Lot 2) SF House Extra Services Plot Plan|Conner Homes|H:\1324|RT, AF, DB||
1323|Piper's Bluff Single Family|Conner Homes|H:\1323|RT, AT, DB||
1323B|Piper's Bluff SF Extra Services Addn'l Mirrored Plans|Conner Homes|H:\1323|DB||
1323A|Piper's Bluff SF Extra Services Owner Changes|Conner Homes|H:\1323|DB||
